Date;Peugeot;Renault;Volvo;BMW;Daimler;VW;Toyota;GM;Ford;Fiat Chrysler;Portfolio
10.13.2015;14.785;73.81;81.61;83.074;67.801;104.11;123.110001;32.271123;14.188779;10.454595;605.214498
10.12.2015;14.77;74.761;82.29;84.386;68.777;103.82;122.599998;32.202711;14.179308;10.29689;608.082907
10.9.2015;14.86;74.703;83.16;85.478;69.659;106.02;123.480003;32.671824;14.198251;10.185181;614.415259
10.8.2015;14.84;72.567;83.64;84.089;68.455;104.11;122.709999;32.300442;13.970927;9.738347;606.420715
10.7.2015;14.425;71.344;81.32;82.557;66.881;101.08;120.919998;31.489267;13.554168;9.363796;592.934229
10.6.2015;14.415;72.023;81.32;82.117;66.066;101.57;122.32;31.039699;13.440505;9.344082;593.655286
10.5.2015;14.02;67.451;81.08;78.745;64.549;94.82;120.730003;31.010379;13.251069;9.219231;574.875682
10.2.2015;13.49;63.781;80.79;77.74;62.976;91.34;118.339996;29.97442;12.947971;8.884107;560.263494
10.1.2015;13.255;62.597;76.74;74.905;61.222;90.2;117.279999;29.339162;12.853253;8.680402;547.071816
9.30.2015;13.435;62.956;76.83;75.02;61.099;94.25;114.25;28.488892;12.455437;8.023295;546.807624
9.29.2015;13.455;62.131;77.17;75.872;61.478;95.47;115.220001;27.912273;12.427021;8.115289;549.250584
9.28.2015;12.645;60.888;76.06;73.143;59.97;92.98;118.510002;28.742996;12.815366;8.529268;544.283632
9.25.2015;12.41;60.364;75.24;73.353;60.283;96.98;117.550003;28.772316;12.929027;8.60812;546.489466
9.24.2015;13.095;63.315;78.43;75.556;62.303;104.79;117.510002;29.045964;12.957444;8.989244;565.991654
9.23.2015;13.005;61.966;77.56;72.482;60.179;109.53;117.580002;29.348935;13.184767;8.759256;563.59496
9.22.2015;13.5;63.102;81.03;76.418;62.966;108.9;119.43;29.925554;13.563639;9.284943;578.120136
9.21.2015;13.855;64.606;79.73;75.968;62.805;103.53;118.82;29.818048;13.525752;9.534644;572.192444
9.18.2015;15.185;69.558;82.44;80.833;67.545;129.11;121.239998;30.599904;13.828851;9.93548;620.275233
9.17.2015;15.58;71.839;83.26;82.088;68.521;158.61;122;30.4924;13.866738;9.784345;656.041483
9.16.2015;16.07;75.004;86.49;84.53;71.574;163.88;119.959999;30.287162;13.554168;9.738347;671.087676
9.15.2015;15.75;73.81;86.93;83.726;71.384;165.69;116.349998;30.023285;13.052161;9.416364;666.131808
9.14.2015;15.725;72.033;85.82;83.544;71.223;165.25;117.099998;29.466212;12.985859;9.57407;662.721139
9.11.2015;15.575;71.033;85.67;81.733;70.285;163.2;117.940002;29.319615;13.004802;9.587212;657.347631
9.10.2015;15.67;71.868;86.44;81.915;69.735;164.03;120.620003;28.596398;12.815366;9.468932;661.158699
9.9.2015;15.655;72.586;87.31;82.423;70.057;164.03;121.239998;28.847412;12.947971;9.567499;664.66388
9.8.2015;15.795;73.936;88.57;81.925;70.342;165.79;116.5;27.881969;12.843782;8.936675;662.520426
9.4.2015;15.515;71.955;86.64;80.488;69.46;163.05;119.610001;28.104022;13.108992;9.114094;657.045109
9.3.2015;15.105;69.509;85.57;77.519;67.744;158.95;117.620003;28.200565;13.137408;9.068096;642.423072
